,Year,DOY,StartTime,StopTime,A1112Amp,A14Amp,A15Amp,A16Amp,Availability,Quality,Comments,EventType,DeepClass,2004Class
103,70,19,2025,2152.0,10.0,,,,2,,,C,,
104,70,20,1515,1550.0,1.0,,,,,,,,,
105,70,21,455,520.0,1.0,,,,,,,,,A 10
106,70,21,1250,1325.0,1.0,,,,,,,,,A 10
107,70,21,1924,1949.0,1.5,,,,2,,,,,
108,70,22,851,912.0,2.0,,,,2,,,A,02,A  2
109,70,22,1506,1532.0,1.5,,,,2,,,A,09,A  9
110,70,23,2037,2050.0,0.5,,,,2,,,,,
111,70,24,339,410.0,2.5,,,,2,,,A,08,A  8
112,70,24,444,550.0,4.0,,,,2,,,C,,
113,70,24,653,725.0,6.0,,,,2,,,C,,
114,70,25,241,300.0,2.0,,,,2,,,A,12,A 12
115,70,26,1142,1205.0,2.0,,,,2,,,,,A  1
116,70,26,1447,1520.0,1.5,,,,2,,,M,,A 13
117,70,29,17,50.0,1.5,,,,2,,,A,07,A  7
118,70,29,1658,1745.0,1.0,,,,2,6,,,,A206
119,70,30,629,650.0,1.0,,,,2,,,,,
120,70,31,2330,2350.0,1.0,,,,2,,,,,A303
121,70,32,348,425.0,2.0,,,,2,,,A,06,A  6
122,70,32,430,500.0,1.0,,,,2,2,,,,A 65
123,70,33,203,230.0,1.0,,,,2,,,,,A217
124,70,33,1059,1130.0,2.0,,,,2,,,A,04,A  4
125,70,33,1430,1510.0,2.0,,,,2,,,A,01,A  1
126,70,33,1520,1610.0,2.0,,,,2,,,A,07,
127,70,33,2057,,-1.0,,,,,,,,,A 14
128,70,34,1835,1910.0,1.0,,,,2,,,,,
129,70,34,2029,2100.0,1.0,,,,2,,,M,,A 86
130,70,35,1849,1930.0,1.0,,,,2,,,,,A  6
131,70,35,2040,2135.0,3.0,,,,2,,,A,01,A  1
132,70,36,422,500.0,1.0,,,,2,,,A,06,A  6
133,70,36,811,845.0,1.0,,,,2,,,,,A  5
134,70,36,1432,1510.0,1.0,,,,2,,,M,,A 22
135,70,36,1627,1650.0,0.5,,,,2,,,,,
136,70,37,806,845.0,2.0,,,,2,,,A,03,A  3
137,70,38,133,220.0,3.5,,,,2,,,A,01,A  1
138,70,38,326,420.0,3.5,,,,2,,,A,05,A  5
139,70,38,1339,1410.0,1.5,,,,2,,,,,A  5
140,70,40,821,,-1.0,,,,,,,,,A  1
141,70,41,720,800.0,1.0,,,,2,,,,,
142,70,43,2134,2215.0,1.0,,,,2,,T?,,,
143,70,47,1041,1130.0,3.0,,,,,,,,,
144,70,49,29,110.0,1.0,,,,2,,TX,A,10,A 10
145,70,49,141,230.0,6.0,,,,2,,,C,,
146,70,49,332,410.0,1.0,,,,2,,,M,,A 10
147,70,49,751,830.0,1.0,,,,2,,,,,A301
148,70,49,1211,1420.0,9.0,,,,2,,,C,,
149,70,49,1438,1515.0,2.0,,,,2,,,A,02,A  2
150,70,49,1530,1620.0,0.5,,,,2,,,,,
151,70,50,28,100.0,0.5,,,,2,,,,,A 15
152,70,50,358,440.0,1.0,,,,2,,,A,09,
153,70,50,836,915.0,1.0,,,,2,,,M,,A208
154,70,50,933,1020.0,0.5,,,,2,,,,,
155,70,50,1635,1720.0,0.5,,,,2,,,,,A 10
156,70,51,517,600.0,1.0,,,,2,,,,,
157,70,51,1025,1105.0,1.0,,,,2,,,,,A 42
158,70,51,1225,1300.0,1.0,,,,2,,,,,A  1
159,70,51,1335,1410.0,1.0,,,,2,,,,,
160,70,51,1612,1700.0,2.0,,,,2,,,A,08,A  8
161,70,51,1817,1850.0,1.0,,,,2,,,,,
162,70,51,1911,1940.0,1.0,,,,2,,,M,,A 10
163,70,51,2304,,-1.0,,,,,,,,,A 10
164,70,52,735,820.0,2.0,,,,2,,,C,,
165,70,52,1148,1210.0,1.0,,,,2,,,,,
166,70,52,1851,1912.0,1.5,,,,2,,,A,12,A 12
167,70,54,531,604.0,1.0,,,,2,,,,,A 13
168,70,54,2140,2240.0,2.5,,,,2,,,C,,
169,70,56,605,630.0,1.5,,,,2,,,,,
170,70,57,1631,1730.0,1.5,,,,2,,,A,07,A  7
171,70,60,1828,1850.0,1.0,,,,2,,,,,A304
172,70,60,1853,1930.0,1.0,,,,2,,,,,A 65
173,70,61,130,150.0,1.0,,,,2,,,,,A 18
174,70,61,152,250.0,2.0,,,,2,,,A,01,A  1
175,70,61,444,550.0,3.0,,,,2,,,A,06,A  6
176,70,61,801,840.0,1.5,,,,2,,,M,,A 22
177,70,61,1059,1130.0,1.0,,,,2,,,,,
178,70,61,1521,1600.0,1.0,,,,2,,,,,A 80
179,70,61,2204,2240.0,1.5,,,,2,,,A,04,A  4
180,70,62,737,810.0,2.0,,,,2,,,C,,
181,70,62,830,920.0,2.5,,,,2,,,A,07,A  7
182,70,62,955,1020.0,1.0,,,,2,,,,,A 30
183,70,62,1328,1355.0,0.5,,,,2,,,,,
184,70,62,1532,1610.0,1.0,,,,2,,,M,,A  5
185,70,62,2017,2130.0,4.5,,,,2,,,C,,
186,70,63,422,530.0,6.0,,,,2,,,A,01,A  1
187,70,64,1702,1730.0,1.0,,,,2,,,,,A  6
188,70,64,1910,1940.0,0.5,,,,2,,,,,
189,70,64,2345,40.0,1.5,,,,2,,,A,01,A  1
190,70,65,140,200.0,0.5,,,,2,,,,,A  3
191,70,65,845,910.0,0.5,,,,2,,,,,A218
192,70,65,2134,2210.0,1.0,,,,2,,,A,05,A  5
